Control ID,Control Name,Control Description,NIST Mapping,Review Frequency,Last Review Date,Next Review Date
AC.1.001,"Limit information system access to authorized users, processes acting on behalf of authorized users, or devices (including other information systems).",Control who has access to your systems and what they can do.,3.1.1,Annual,2025-02-26,2026-02-26
AC.1.002,Limit information system access to the types of transactions and functions that authorized users are permitted to execute.,Restrict user actions to only those necessary for their job.,3.1.2,Annual,2025-02-26,2026-02-26
AC.1.003,Verify and control/limit connections to and use of external information systems.,Manage connections to systems outside your control.,3.1.3,Annual,2025-02-26,2026-02-26
AC.2.001,Separate duties of individuals to reduce the risk of malevolent activity without collusion.,Divide critical tasks among different people to prevent fraud or misuse.,3.1.4,Annual,2025-02-26,2026-02-26
AC.2.002,"Employ the principle of least privilege, including for specific security functions and privileged accounts.",Grant users and processes only the necessary privileges to do their jobs.,3.1.5,Annual,2025-02-26,2026-02-26
AC.2.003,Use non-privileged accounts or roles when accessing nonsecurity functions.,Don’t use powerful accounts for everyday tasks to limit potential damage.,3.1.6,Annual,2025-02-26,2026-02-26
AC.2.004,Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.,Regular users should not be able to do administrator tasks.,3.1.7,Annual,2025-02-26,2026-02-26
AC.2.005,Limit unsuccessful logon attempts.,Protect against attackers repeatedly trying to guess passwords.,3.1.8,Annual,2025-02-26,2026-02-26
AC.2.006,Provide privacy and security notices consistent with applicable CUI rules.,Inform users of the rules and restrictions for using systems with CUI.,3.1.9,Annual,2025-02-26,2026-02-26
AC.2.007,Use session lock with pattern-hiding displays to prevent access and viewing of data after a period of inactivity.,Quickly lock your screen to prevent unauthorized access.,3.1.10,Annual,2025-02-26,2026-02-26
AC.2.008,Terminate (automatically) a user session after a defined condition.,Log users off automatically after a certain condition (e.g. inactivity).,3.1.11,Annual,2025-02-26,2026-02-26
AC.2.009,Control remote access sessions.,Keep an eye on who is connecting to your network remotely.,3.1.12,Annual,2025-02-26,2026-02-26
AC.2.010,Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.,Use encryption to protect remote access connections.,3.1.13,Annual,2025-02-26,2026-02-26
AC.2.011,Route remote access via managed access control points.,Control remote access through a limited number of points.,3.1.14,Annual,2025-02-26,2026-02-26
AC.2.012,Authorize remote execution of privileged commands and remote access to security-relevant information.,Control the use of powerful commands and sensitive information remotely.,3.1.15,Annual,2025-02-26,2026-02-26
AC.2.013,Authorize wireless access prior to allowing such connections.,Control the use of wireless networks and devices.,3.1.16,Annual,2025-02-26,2026-02-26
AC.2.014,Protect wireless access using authentication and encryption.,Secure wireless connections with strong passwords and encryption.,3.1.17,Annual,2025-02-26,2026-02-26
AC.2.015,Control connection of mobile devices.,Manage the use of mobile devices like phones and tablets.,3.1.18,Annual,2025-02-26,2026-02-26
AC.2.016,Encrypt CUI on mobile devices and mobile computing platforms.,Protect CUI on mobile devices with encryption.,3.1.19,Annual,2025-02-26,2026-02-26
AC.2.017,Verify and control/limit connections to and use of external systems.,Manage connections between your network and external systems.,3.1.20,Annual,2025-02-26,2026-02-26
AC.2.018,Limit use of portable storage devices on external systems.,Control the use of portable storage devices like USB drives.,3.1.21,Annual,,
AC.2.019,Control CUI posted or processed on publicly accessible systems.,Safeguard CUI on public systems.,3.1.22,Annual,,
AT.1.001,"Ensure that managers, systems administrators, and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems.",Train staff on security awareness and their roles.,3.2.1,Annual,,
AT.2.001,Ensure that personnel are trained to carry out their assigned information security-related duties and responsibilities.,Provide role-based training to staff.,3.2.2,Annual,,
AT.3.001,Provide security awareness training on recognizing and reporting potential indicators of insider threat.,Train staff on insider threat awareness.,3.2.3,Annual,,
